super_sector,sector,categories
Drugs & Pharmaceuticals,Common Disease Medicines,"['Mifepristone Misoprostol Tablet', 'Forte Tablets', 'Clenbuterol Tablet', 'Varenicline Tablet', 'Thyroxine Sodium Tablets', 'Deflazacort Tablets', 'Posaconazole Tablet', 'Sublingual Tablets', 'Prednisone Tablets', 'Cetirizine Tablet', 'Pirfenidone Tablets', 'Uric Acid Tablet', 'Fexofenadine Hcl Tablet', 'Dutasteride Tablet', 'Cabergoline Tablet', 'Tamsulosin Hydrochloride Tablet', 'Midodrine Hydrochloride Tablet', 'Hormone Tablet', 'Deferasirox Tablets', 'Potassium Magnesium Citrate', 'Tolvaptan Tablet', 'Caffeine Tablets', 'Pilocarpine Tablet', 'Caspofungin Acetate', 'Mirabegron Tablet', 'Pyridostigmine Tablets', 'Slimming Pill', 'Ribavirin', 'Deflazacort', 'Anti Smoking Drugs', 'Betahistine', 'Betahistine Dihydrochloride Tablet', 'Mouth Ulcer Tablets', 'Flunarizine Dihydrochloride Tablet', 'Dapsone Tablet', 'Triglyceride', 'Primidone Tablets', 'Formalin Tablets', 'Tibolone Tablet', 'Flavoxate Tablet', 'Obeticholic Acid Tablets', 'Fludrocortisone Acetate', 'Pramipexole Dihydrochloride Tablet', 'Dehydroepiandrosterone Tablet', 'Diosmin Tablet', 'Sugar Coated Tablets', 'Synthroid', 'Dextromethorphan Tablet', 'Doxazosin Mesylate Tablet', 'Etamsylate Tablet', 'Tolterodine Capsule', 'Chromium Polynicotinate', 'Steroid Tablet', 'Steroid Injections', 'Steroid Hormones', 'Methandienone Tablets', 'Oxymetholone Tablets', 'Oxandrolone Tablets', 'Testosterone Tablets and Capsules', 'Stanozolol Tablets and Capsules', 'Mesterolone Tablet', 'IGF Hormone', 'Steroid Injections', 'Human Growth Hormone Injection', 'Botox Injection', 'IV Fluids', 'Cosmetic Fillers', 'Pharmaceutical Injectables', 'Estradiol Valerate Injection', 'Iohexol Injections', 'Anti Snake Venom', 'Romiplostim Injection', 'Sterile Water', 'Tetanus Vaccine', 'Scapho Injection', 'Ranibizumab Injection', 'Xylazine', 'Interferon Beta 1-Alpha', 'Verteporfin Injection', 'Linezolid Injection', 'Eylea Aflibercept Injection', 'Dupixent Dupilumab Injection', 'Iopromide Injection', 'Xiaflex Injection', 'Hyaluronidase Injection', 'Follicle Stimulating Hormone Injection', 'Methylene Blue Injection', 'Defitelio Injection', 'Caspofungin Acetate', 'Vedolizumab Injection', 'Kybella Lipolysis Injection', 'Terlipressin Injection', 'N Acetylcysteine Injection', 'Dry Injections', 'Voriconazole Injection', 'Bacteriostatic Water', 'Iodixanol Injection', 'Xeomin 100 Injection', 'Fondaparinux Injection', 'Vasopressin Injection', 'Caffeine Citrate', 'Placentrex Injection', 'Leucovorin Calcium Injection', 'Anti Venom Injection', 'Neostigmine Methylsulfate Injection', 'Hemlibra Injection', 'Azithromycin Injection', 'Potassium Chloride Injection', 'Clarithromycin Injection', 'Daptomycin Injection', 'Dry Powder Injections', 'Itolizumab Injection', 'Posaconazole Injection', 'Alpha Lipoic Acid Injection', 'Novoseven', 'Skin Whitening Injection Glutathione Inj Vial', 'Ergometrine Injection', 'Egrifta Injection', 'Poractant Alfa Injection', 'Cinryze Injection', 'Drotaverine Injection', 'Valethamate Bromide Injection', 'Brineura Injection', 'Myalept Injection', 'Dexmedetomidine Injection', 'Firazyr Injection', 'Haemaccel Injection', 'Zienam Injection', 'Sotrovimab Injection', 'Takhzyro Injection', 'Bamlanivimab Injection', 'Buminate', 'Lycopene Capsule', 'Nutritional Supplements', 'Lycopene Syrup', 'Acetylcysteine Tablet', 'Pharmaceutical Drug', 'Antiepileptic Drugs', 'Antipsychotic Medicine', 'Artesunate Tablet', 'Lycopene', 'Amitriptyline Tablet', 'Generic Medicines', 'Film Coated Tablets', 'Psoriasis Medicine', 'Proprietary Medicines', 'Beclomethasone Cream', 'Antidote', 'Pharmaceutical Products', 'Chlordiazepoxide Capsule', 'Skin Lightening Drugs', 'Life Saving Drugs', 'Anti Acne Drug', 'Aztreonam Injection', 'Lisinopril Tablet', 'Allopathic Medicines', 'Captopril Tablet', 'Alfuzosin HCl Tablet', 'Microbicidal Sprinkling Powder', 'Retinoic Acid', 'Generic Pharmaceuticals', 'Beclomethasone Inhaler', 'Acetanilide', 'Haemostatic Products', 'Appetite Stimulant', 'Methimazole Tablet', 'Bulk Drugs', 'Rutin', 'Gadolinium Oxide', 'Neuropathy Medicine', 'Baclofen Injection', 'Surgical Drug', 'Eudemine Tablet', 'Hormonal Therapy Drug', 'Dry Skin Medicine', 'Manganese Glycerophosphate', 'Chemical Burn Antidote', 'Pentosan Polysulfate Sodium Capsule', 'Bromhexine Hydrochloride Tablet', 'Therapeutic Segments', 'Steroid', 'Softgel Capsules', 'Energy Capsules', 'Fat Burning Capsules', 'Lenalidomide Capsules', 'Fluoxetine Capsule', 'Silodosin Capsules', 'Dutasteride Capsules', 'Prostate Care Capsules', 'Deferiprone Capsule', 'Danazol Capsule', 'Leucorrhoea Capsules', 'Haematinic capsules', 'Urimax Capsule', 'Ganocelium Capsules', 'Vitamin B2 Capsules', 'Krill Oil Capsules', 'Gamma Linolenic Acid Capsules', 'Inhalant Capsule', 'Wheat Germ Oil Capsules', 'Fiber Plus Capsule', 'Rivastigmine Capsules', 'Kalonji Oil Capsules', 'Ganciclovir Capsules', 'Chitosan Capsule', 'Garlic Oil Capsules', 'Kasly A1 Capsule', 'Herbal Eye Drops', 'Carboxymethylcellulose Sodium Eye Drops', 'Moxifloxacin Eye Drop', 'Sodium Hyaluronate Ophthalmic Solution', 'Brimonidine Tartrate Solution', 'Hydroxypropyl Methylcellulose Ophthalmic Solution', 'Tobramycin Eye Drop', 'Timolol Maleate Solution', 'Olopatadine HCL', 'Nepafenac Ophthalmic Eye Drop', 'Tropicamide Drops', 'Fluorometholone Eye Drop', 'Gentamicin Eye Drop', 'Loteprednol Etabonate Ophthalmic Suspension', 'Isotine Eye Drop', 'Trypan Blue Ophthalmic Solution', 'Gatifloxacin Eye Drops', 'Bimatoprost', 'Travoprost Eye Drop', 'Ciprofloxacin Eye Drop', 'Bromfenac Sodium', 'Chloramphenicol Eye Drop', 'Aloe Jyoti Eye Drop', 'Dexamethasone Ophthalmic Eye Drop', 'Bromothymol Blue', 'Lubricant Eye Drops', 'Itone Eye Drop', 'Alcon Eye Drop', 'Carmellose Sodium Eye Drops', 'Hydroquinone Cream', 'Mometasone Furoate Creams', 'Triamcinolone Acetonide', 'Tazarotene', 'Mometasone Solution and Spray', 'Permethrin Cream', 'Dithranol Ointment', 'Hydrocortisone Acetate Cream', 'Diethylcarbamazine Citrate', 'Calcipotriol Ointment', 'Methoxsalen', 'Hydrocortisone Ointment', 'Vitamin D3 Drops', 'Vitamin B Complex Syrup', 'Multivitamin Drops', 'Iron Folic Acid Syrup', 'Ferrous Ascorbate Syrup', 'Nutritional Syrup', 'Antioxidant Syrup', 'Dexorange Syrup', 'Folic Acid & Vitamin B12 Syrup', 'Calcium & Vitamin D3 Syrup', 'Silymarin B Complex Syrup', 'Vitamin A Syrup & Drops', 'Zinc Acetate Syrup', 'Methylcobalamin Syrup', 'Haematinics Syrup', 'Pediatric Drops', 'Iron Folic Drops', 'American Ginseng Drops', 'Eye Drops', 'Retino A', 'Ophthalmic Drops', 'Eye Ointments', 'Fluorescein Sodium Injection', 'Bimatoprost Ophthalmic Solution', 'Chloramphenicol Eye Ointment', 'Cyclosporine Ophthalmic Emulsion', 'Latanoprost Ophthalmic Eye Drop', 'Lutein Capsules', 'Brinzolamide', 'Tetracycline Eye Ointment', 'Phenylephrine', 'Tobramycin', 'Oxervate Injection', 'Minoxidil Topical Solution', 'Hair Loss Medicines', 'Biotin Tablets & Capsules', 'Finpecia Tablet', 'Hair Care Capsules', 'Hair Growth Capsules', 'Finasteride Tablets', 'Follihair Tablets', 'Hair Care Drops', 'Trenbolone Injection', 'Boldenone Undecylenate Injection', 'Stanozolol Injection', 'Increlex Injection', 'Glutathione Tablet', 'Glutathione Injection', 'Monobenzone Cream', 'Trioxsalen Tablet', 'Dermatological Drug', 'Dermatological Agents', 'Herbal Ointments', 'Dry Skin Ointment', 'Eye Ointments', 'Fusidic Acid Cream', 'Tacrolimus Ointment', 'Homeopathic Ointment', 'Mouth Ulcer Gel', 'Fluocinolone Acetonide Cream', 'Psoriasis Ointment', 'Silver Sulfadiazine Cream', 'Chloramphenicol Eye Ointment', 'Nadifloxacin Ointment', 'Tetracycline Eye Ointment', 'Hydrocortisone Ointment', 'Derma Ointment', 'Moxifloxacin Ointment', 'Promethazine', 'Levocetirizine Tablets', 'Anti Cold Tablet', 'Cyproheptadine Syrup', 'Chlorpheniramine Maleate Tablets', 'Cyproheptadine Tablet', 'Doxylamine Succinate', 'Levocetirizine Tablet', 'Phenylephrine Hcl Tablet', 'Diphenhydramine Pharmaceutical Syrup', 'Levocetirizine Dihydrochloride Montelukast Tablet', 'Chlorpheniramine Maleate Injection', 'Cinnarizine Tablet', 'Loratadine', 'Desloratadine Tablet', 'Triprolidine Hydrochloride Tablets', 'Meclizine HCL', 'Dimenhydrinate Tablets', 'Paracetamol Phenylephrine Hydrochloride Caffeine and Diphenhydramine Hydrochloride Tablet', 'Hydroxyzine Oral Solution', 'Ketotifen Fumarate', 'Dexchlorpheniramine Maleate Tablet', 'Cinnarizine Domperidone Tablet', 'Oxymetazoline Spray', 'Oxymetazoline Solution', 'Rupatadine Fumarate Tablets', 'Cofsils Tablets', 'Desloratadine', 'Diphenhydramine Hcl Tablet', 'Maxtra Syrup', 'Carbinoxamine Maleate', 'Oxatomide', 'Ruxolitinib Creams', 'Salicylic Acid Ointment', 'Clobetasol Propionate Lotion', 'Tacrolimus Ointment', 'Betamethasone Valerate', 'Vitiligo Cream', 'Betamethasone Dipropionate', 'Silicone Gel', 'Collagen Wound Gel', 'Contractubex Gel', 'Quadriderm Cream', 'Nifedipine Ointment', 'Allantoin Ointment', 'Buprenorphine Tablet', 'Naltrexone', 'Disulfiram Tablet', 'Nicotine Gum', 'Acamprosate Calcium Tablet', 'Sodium Chloride Injection', 'Saline Solution', 'Sodium Lactate IV Fluid', 'Dextrose Injection', 'Dry Syrups', 'Multivitamin Syrup & Drops', 'Oral Suspension', 'Liquid Orals', 'L-Carnosine Syrup', 'Nano Curcumin Syrup', 'Brain Tonic', 'Anti Fever Syrup', 'Anti Worm Syrup', 'Dextromethorphan Cough Syrup', 'Ambroxol Hydrochloride Syrup', 'Chlorpheniramine Maleate Syrup', 'Guaiphenesin Cough Syrup', 'Anti Cold Syrup', 'Bromhexine Hydrochloride', 'Bromhexine Cough Syrup', 'Phenylephrine Chlorpheniramine Maleate & Paracetamol Syrup', 'Mucokinetics', 'Terpin Hydrate', 'Maxtra Syrup', 'Calcitriol Calcium Carbonate & Zinc Softgel Capsules', 'DHA Softgels Capsules', 'Fish Oil Softgel Capsule', 'Omega 7 Softgels Capsule', 'Borage Oil Softgel Capsules', 'Benzoyl Peroxide Gel', 'Isotretinoin Capsules', 'Adapalene Gel', 'Benzac Ac Gel', 'Azelaic Acid Cream', 'Isotretinoin Tablet', 'Aqui Plus Anti Acne Cream', 'Amino Acid Pellets', 'Magaldrate Simethicone Oral Suspension', 'Cefpodoxime Proxetil Oral Suspension', 'Cefixime Oral Suspension', 'Ofloxacin Oral Suspension', 'Posaconazole Oral Suspension', 'Albendazole Oral Suspension', 'Oral Care Kit', 'Dental Etching Gel', 'Dental Cream', 'Gum Paint', 'Dental Paste', 'Artificial Saliva', 'Choline Salicylate and Lignocaine Hydrochloride Gel', 'Mouth Freshener Spray', 'Tooth Whiteners', 'Breath Fresheners', 'Oral Care Flavor', 'Levothyroxine Sodium Tablet', 'Cytomel Tablets', 'Thyroid Energy Capsule', 'Carbimazole Tablets', 'Calamine Lotion', 'Permethrin Lotion', 'Anti-Itch Lotions', 'Calamine Powder', 'Aluminum Acetate', 'Fluticasone', 'Sodium Chloride Nasal Drops', 'Xylometazoline Nasal Drops', 'Azelastine Spray', 'Azelastine Hydrochloride', 'Xylometazoline Hydrochloride', 'Allopathic Ear Drop', 'Gentamicin Eye Drop', 'Herbal Ear Drops', 'Throat Lozenges', 'Cofsils Cough Syrup', 'Cough Drops', 'Ambroxol Hydrochloride', 'Allopathic Cough Syrup', 'Cough Medicine', 'Phensedyl Dx Cough Syrup', 'Dorzolamide Ophthalmic Eye Drops', 'Loteprednol Etabonate Ophthalmic Suspension', 'Latanoprost Ophthalmic Eye Drop', 'Psoriasis Ointment', 'Taltz Injection', 'Secukinumab Injection', 'Tremfya Injection', 'Acitretin Capsule', 'Mouth Rinse', 'Chlorhexidine Mouthwash', 'Povidone Iodine Gargle', 'Benzydamine Mouthwash', 'Capsule Packaging Blister Tray', 'Ampoule Packaging Tray', 'Injection Packaging Tray', 'PVC Packaging Material', 'Vial Packaging Tray', 'Pharmaceutical Packaging Machines', None, 'Pharmaceutical Injectables', 'Pharmaceutical Drug', 'Generic Medicines', 'Pharmaceutical Products', 'Allopathic Medicines', 'Cough Medicine', 'Generic Pharmaceuticals', 'Derma Ointment', 'Bulk Drugs']"
Drugs & Pharmaceuticals,Nutraceuticals & Dietary Supplements,"['Coenzyme Q10 Tablets and Capsules', 'Pre workout Supplements', 'Height Increaser Tablet', 'Energy Supplement', 'Creatine Monohydrate', 'Creatine Supplements', 'Body Grow Powder', 'Gopal Herbal Fitness Supplements', 'BCAA Powder', 'Protein Bar', 'Levocarnitine Injection', 'Protein Hydrolysate powder', 'Amino Acid Supplements', 'Carnitine Tablets', 'Soy Protein Isolate', 'Diet Capsule', 'Sports Nutrition Powder', 'Colostrum Capsule', 'Ferrous Sulphate Tablets', 'Colostrum Powder', 'Big Muscle Fitness Supplements', 'L-Valine', 'Omega 3 Drops', 'Kids Energy Powder', 'Sports Supplement', 'Granola Bars', 'Acai Berry Extracts', 'D Protein', 'Glycine Powder', 'Beta Alanine', 'Resveratrol Capsules', 'Weight Loss Diet', 'Labrada Muscle Mass Gainer', 'Choline Bitartrate', 'Acetylcarnitine', 'Oat Bran', 'BCAA Capsules', 'Concentrated Chlorophyll Drops', 'Creatine Ethyl Ester Malate', 'Protein Additive', 'L Alanine', 'Colostrum Chew', 'Orotic Acid', 'Methylcobalamin Tablets', 'Vitamin C Tablets & Capsules', 'Vitamin D3 Tablets & Capsules', 'Folic Acid Tablet', 'Vitamin E Soft Capsule', 'Biotin Tablets & Capsules', 'Calcitriol Capsules', 'Vitamin Effervescent Tablet', 'Cholecalciferol Granules', 'Vitamin D Tablets', 'Thiamine Hydrochloride', 'Vitamin B6 Tablet', 'L-Methylfolate', 'Vitamin A Tablet & Capsules', 'Vitamin B1 Tablet', 'Pyridoxine Hydrochloride Capsule', 'Pyridoxal 5 Phosphate', 'Vitamin B2 Capsules', 'Vitamin Chewing Tablets', 'Chewable Vitamin Tablet', 'Buckthorn Capsules', 'Alfacalcidol Capsule', 'Sulbutiamine', 'Alfacalcidol', 'Adenosylcobalamin', 'Organic Vitamin', 'Wegovy injection', 'Slim Fit Capsules', 'Slimming Medicine', 'Weight Loss Pill', 'Slimming Tea', 'Orlistat Capsules', 'Fat Burner Supplement', 'Ayurvedic Weight Loss Powder', 'L-Carnitine Tablet', 'Weight Loss Nutrition', 'L Carnitine Injection', 'Anti Obesity Drugs', 'Garcinia Cambogia Capsules', 'Green Coffee Bean Capsule', 'Beta Glucan', 'Weight Loss Juice', 'Lorcaserin Tablet', 'CLA Complex Capsules', 'Slimming Gel', 'Raspberry Ketone', 'Orlistat Pellets', 'Slimming Aid', 'Forskolin', 'L-Arginine Tablet', 'Nutrition Tablet', 'Alpha Lipoic Acid Tablet', 'Collagen Peptides', 'Nutritional Vitamin Supplements', 'Multivitamin Supplements', 'Nutrition Additive', 'Omega 3 Syrup', 'Nutritional Shake Mix', 'L Glutamine Capsules & Tablets', 'Glucosamine Sulphate Capsules', 'Collagen Peptide Tablets', 'Ginseng Capsule', 'Cellulose Powder', 'L Glutamine Powder', 'Glucosamine Hcl Powder', 'Niacinamide', 'L-Arginine Capsules', 'Glucosamine Capsule', 'Bee Pollen', 'Calcium Citrate Tablets', 'Dextrose Anhydrous', 'Glutamine Powder', 'Potassium Bicarbonate', 'Nutrition Bar', 'Chondroitin Sulphate', 'Lactonic Granules', 'Microcrystalline Hydroxyapatite', 'Chromium Picolinate Tablet', 'Meal Replacement', 'Vitamin B1 Supplements', 'Tyrosine', 'Mannose', 'Ribose Chemical', 'Chromium Chloride', 'Vitamin D Supplement', 'NuMoringo Capsule', 'Dong Quai Capsule', 'Ganoderma Drops', 'Arginine Powder', 'Rejuvenation Medicine', 'Chromic Chloride', 'Eleuthero Capsule', 'Lean Mass Gainer', 'Weight Gain Capsule', 'Maltodextrin Powder', 'Muscle Doctor Weight Gainer', 'Daffodil Deca Gainer', 'RC Mass Gainer', 'Endura Mass Weight Gainer', 'Muscle Garage Mass Gainer', 'Patanjali Nutrela Health supplement', 'Divine Nutrition Fitness Supplement', 'ProPharma Mass Gainer', 'Arscor Mass Gain Powder', 'Calcium Tablet', 'Ferrous Ascorbate Tablet', 'Liquid Calcium', 'Calcium Supplements', 'Iron Folic Acid Syrup', 'Iron Syrup', 'Chelated Minerals', 'Calcium Capsule', 'Calcium Syrup', 'Iron Tablet', 'Zinc Tablet', 'Iron Tonic', 'Calcium Citrate Malate Capsule', 'Calcium Gluconate', 'Concentrated Mineral Drop', 'Carbonyl Iron Capsules', 'Zinc Sulphate Tablets & Capsules', 'Calcium Lactate', 'Zinc Gluconate', 'Iron Supplements', 'Ferrous Fumarate Tablet', 'Citicoline Sodium', 'Zinc Capsule', 'Ferrous Bisglycinate', 'Folic Acid', 'Coral Calcium', 'Calcium Phosphates', 'Iron Polymaltose Complex', 'Calcium Glycerophosphate', 'Magnesium Orotate', 'Potassium Chloride Tablet', 'Zinc Acetate', 'Zinc Picolinate', 'Iron Polymaltose', 'Choline Citrate', 'Magnesium Gluconate', 'Sodium Glycerophosphate', 'Magnesium Glycerophosphate', 'Ionic Mineral Drops', 'Calcium Levulinate', 'Orotate', 'Omega 3 Capsule', 'Peptides', 'N- Acetyl L- Cysteine Supplement', 'Evening Primrose Oil Capsule', 'S-Adenosylmethionine Tablets', 'L-Lysine', 'Flaxseed Oil Capsule', 'Ademetionine Tablet', 'General Vitamin Premix Powder', 'Saccharomyces Boulardii', 'Cod Liver Oil Capsules', 'Grape Seed Capsule', 'Reduced Glutathione GSH', 'Calcium Orotate Tablets', 'Fish Oil Capsule', 'OMEGA 369', 'MCT Powder', 'MSM Powder', 'Soy Isoflavone', 'Alpha GPC', 'Greenrich Capsule', 'Alpha-Linolenic Acid', 'Magnesium Glycinate', 'Generic Dietary Supplements', 'Lutein Ester', 'Cell Food', 'Immunity Booster', 'Dietary Supplements', 'Nutritional Supplements', 'Protein Supplement', 'Food Supplement', 'Collagen Supplements', 'Pancreatin Tablets', 'L-Citrulline', 'Protein Capsule', 'N-Acetylglucosamine', 'Lysine', 'L-Cysteine', 'Protein Tablet', 'L Tryptophan Tablets', 'Ursolic Acid', 'Choline Dihydrogen Citrate', 'Chocolate Protein Powder', 'Multivitamin Protein Powder', 'Egg Albumen Powder', 'Vanilla Protein Powder', 'Soy Protein', 'Dietary Proteins', 'Vegetarian Protein', 'Pea Protein', 'Plant Protein', 'Multivitamin Powder', 'Sugar Free Protein Powder', 'Kids Protein Powder', 'Brown Rice Protein Powder', 'Pentasure Powder', 'Milk Proteins', 'Casein Protein', 'Ensure Protein Powder', 'Talbina Powder', 'Rice Protein', 'Egg Protein', 'Textured Vegetable Protein', 'Hemp Protein Powder', 'Myofusion Advanced Protein Powder', 'Antioxidant Capsule', 'Vitamin B Complex Tablets & Capsules', 'Multivitamin Gummy', 'Iron Folic Acid Tablet', 'Nicotinamide', 'Calcium K27', '5g Capsule', 'Tocotrienol', 'Haematinic capsules', '9G Capsule', 'Becosules capsules', '12G Capsule', 'CDZ Tablet', 'Haematinics Tablet', 'Ferrous Asparto Glycinate Tablets', 'Ferrous Sulfate Folic Acid Tablets', 'Ascorbate', 'Whey Protein Isolate', 'Whey Protein Concentrate', 'Muscleblaze Whey Protein', 'Organic Whey Protein', 'One Science Whey Protein', 'Labrada Whey Protein', 'Bsn Syntha 6 Protein Powder', 'Herbal Sexual Health Supplement', 'Wheat Germ Oil Capsules', 'Health Food', 'Calcium Citrate and Vitamin D3 Tablet', 'Calcium Citrate Malate Tablet', 'Calcium Carbonate Tablet', 'Calcium & Vitamin D3 Tablet', 'Calcium K27', 'Herbalife Calcium Tablet', 'Methylcobalamin Injection', 'Vitamin C injection', 'Multivitamin Injection', 'Vitamin D Injection', 'Cyanocobalamin Injection', 'Vitamin K Injection', 'Phytomenadione Injection', 'Neurobion Injection', 'Pre & Probiotic Capsule', 'Probiotic Capsules', 'Bacillus Clausii Spores Suspension', 'Prebiotic & Probiotic Sachet', 'Lactic Acid Bacillus Tablets', 'Probiotic Sachets', 'Lactobacillus Capsules', 'Lactobacillus Acidophilus Powder', 'Multi-strain Probiotic', 'Protein Drink Mix', 'Soybean Protein Concentrate', 'Ayurvedic Sexual Health Power Capsules', 'Sexual Oil', 'Breast Enhancement Product', 'Kamini Vidrawan Ras', 'Sperm Count Booster Supplement', 'Sexual Drops', 'Ayurvedic Erectile Dysfunction Supplement', 'Ayurvedic Sexual Wellness Powder', 'Mustang Capsule', 'Vitamin D3 Drops', 'Vitamin B Complex Syrup', 'Multivitamin Drops', 'Iron Folic Acid Syrup', 'Ferrous Ascorbate Syrup', 'Nutritional Syrup', 'Antioxidant Syrup', 'Dexorange Syrup', 'Folic Acid & Vitamin B12 Syrup', 'Calcium & Vitamin D3 Syrup', 'Silymarin B Complex Syrup', 'Vitamin A Syrup & Drops', 'Zinc Acetate Syrup', 'Methylcobalamin Syrup', 'Haematinics Syrup', 'Pediatric Drops', 'Iron Folic Drops', 'American Ginseng Drops', None, 'Food Supplement']"
